Pilote;Nombre;Top 15;Top 10;Poles;Best;Moyenne;Coequipier battu;Taux;Sprints;Top 8;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux;Nombre;Top 10;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux
Sithar07;1;0;0;0;20;20.0;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;11;11.0;1;1.0
Non4me Stuno;3;3;3;1;1;2.0;3;1.0;0;0;0;0;0;0;0;0;3;2;2;1;1;6.67;2;0.67
GL Tharsi;2;0;0;0;17;18.0;0;0.0;0;0;0;0;0;0;0;0;2;1;0;0;10;14.5;0;0.0
Non4me Geckoz;2;2;2;0;2;4.0;2;1.0;0;0;0;0;0;0;0;0;2;1;0;0;10;11.0;0;0.0
PuRa Chime;1;1;1;0;4;4.0;1;1.0;0;0;0;0;0;0;0;0;1;0;0;0;16;16.0;0;0.0
CRL Bikette;1;1;1;0;10;10.0;0;0.0;0;0;0;0;0;0;0;0;1;1;0;0;4;4.0;1;1.0
Baptiste Heche;1;1;0;0;11;11.0;1;1.0;0;0;0;0;0;0;0;0;1;0;0;0;17;17.0;1;1.0
Lucas Lulu;1;1;0;0;12;12.0;1;1.0;0;0;0;0;0;0;0;0;1;1;0;0;7;7.0;1;1.0
PuRa Matex;1;1;0;0;14;14.0;0;0.0;0;0;0;0;0;0;0;0;1;1;0;0;9;9.0;1;1.0
Niko77;1;0;0;0;17;17.0;0;0.0;0;0;0;0;0;0;0;0;1;0;0;0;15;15.0;1;1.0
