Pilote;Nombre;Top 15;Top 10;Poles;Best;Moyenne;Coequipier battu;Taux;Sprints;Top 8;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux;Nombre;Abandons;Fiabilite;Top 10;Podiums;Victoires;Best;Moyenne;Coequipier battu;Taux;Moy. Positions Gagnees
CRL Bikette;9;9;9;3;1;1.89;9;1.0;1;1;1;0;2;2.0;1;1.0;9;0;1.0;8;7;5;1;3.33;8;0.89;-1.56
PuRa Chime;11;11;11;2;1;2.82;11;1.0;2;2;0;0;4;5.0;2;1.0;11;2;0.82;6;3;1;1;9.36;7;0.64;-6.36
ECS Flower;6;6;3;0;3;9.5;5;0.83;2;0;0;0;15;17.0;0;0.0;6;3;0.5;1;0;0;4;15.0;1;0.17;-4.33
aRAC Zer;10;9;9;0;4;7.0;10;1.0;2;1;1;0;3;10.0;1;0.5;10;1;0.9;8;3;0;2;6.6;10;1.0;1.3
JNPJD;12;11;10;0;4;8.58;5;0.42;2;0;0;0;19;19.5;1;0.5;12;2;0.83;9;2;0;2;7.67;5;0.42;2.75
NoN4me Lucas;10;8;4;0;6;11.8;0;0.0;2;1;0;0;8;11.0;0;0.0;10;3;0.7;5;1;0;3;10.9;4;0.4;0.1
MVT Kaio;11;9;7;0;6;10.18;5;0.45;2;1;0;0;7;8.5;0;0.0;11;4;0.64;6;0;0;5;10.09;6;0.55;-0.45
LePtit03;12;10;3;0;6;11.83;9;0.75;2;0;0;0;13;15.0;0;0.0;12;5;0.58;2;0;0;5;13.92;3;0.25;-1.92
MVT Fly;11;10;6;0;3;9.91;7;0.64;2;2;0;0;5;6.0;2;1.0;11;3;0.73;4;0;0;5;12.0;5;0.45;-2.36
Emeric;11;11;10;1;1;6.91;6;0.55;2;0;0;0;11;15.5;1;0.5;11;2;0.82;9;5;2;1;6.09;6;0.55;1.55
RP1 Fifou;11;9;4;0;4;11.91;9;0.82;1;0;0;0;16;16.0;0;0.0;11;1;0.91;6;0;0;5;9.27;7;0.64;2.91
Shadd;11;5;1;0;5;14.64;2;0.18;2;0;0;0;13;14.5;1;0.5;11;5;0.55;5;0;0;4;11.55;4;0.36;2.55
KNF Fradj;12;11;8;0;4;8.75;1;0.08;2;1;1;0;3;6.0;0;0.0;12;4;0.67;7;2;0;3;9.17;2;0.17;-0.42
RS Al3xx;2;2;1;0;10;12.0;2;1.0;0;0;0;0;0;0;0;0;2;2;0.0;0;0;0;18;18.5;0;0.0;-6.5
F1XR Noich;5;2;0;0;11;16.6;0;0.0;1;0;0;0;10;10.0;1;1.0;5;1;0.8;1;0;0;10;11.6;3;0.6;3.4
NoN4me Bappe;12;6;1;0;8;14.75;3;0.25;2;1;0;0;8;9.5;2;1.0;12;1;0.92;8;2;0;3;9.0;9;0.75;5.5
aRAC Pafael;3;1;0;0;15;17.33;1;0.33;1;0;0;0;18;18.0;0;0.0;3;0;1.0;3;1;0;2;6.67;3;1.0;10.0
KS Virtuozz;4;0;0;0;17;17.75;1;0.25;0;0;0;0;0;0;0;0;4;1;0.75;1;0;0;10;12.25;4;1.0;5.5
Leonh4rte;1;0;0;0;19;19.0;0;0.0;0;0;0;0;0;0;0;0;1;1;0.0;0;0;0;20;20.0;0;0.0;-1.0
LDL Shermy;12;6;1;0;10;15.83;1;0.08;2;0;0;0;12;13.0;1;0.5;12;4;0.67;4;0;0;9;13.92;1;0.08;1.58
Djedjam;9;9;9;4;1;2.78;8;0.89;2;2;1;1;1;2.5;2;1.0;9;0;1.0;9;7;2;1;2.89;9;1.0;-0.67
PuRa Matex;9;7;6;0;2;8.78;5;0.56;2;2;0;0;5;5.5;2;1.0;9;5;0.44;4;1;1;1;11.22;6;0.67;-3.67
Legion Rambow;1;1;1;0;5;5.0;0;0.0;1;0;0;0;12;12.0;0;0.0;1;0;1.0;1;0;0;10;10.0;0;0.0;2.0
MCR Raiko;2;2;2;0;3;5.0;2;1.0;0;0;0;0;0;0;0;0;2;2;0.0;0;0;0;17;18.0;0;0.0;-13.0
Wissam;8;5;2;0;2;14.0;4;0.5;1;1;1;0;2;2.0;1;1.0;8;3;0.62;4;1;0;3;11.75;5;0.62;2.25
NXS Tiga;4;1;0;0;15;17.25;1;0.25;0;0;0;0;0;0;0;0;4;1;0.75;2;0;0;10;12.5;2;0.5;4.75
Tonati2514;2;2;2;1;1;2.0;2;1.0;0;0;0;0;0;0;0;0;2;1;0.5;1;1;1;1;9.0;1;0.5;-7.0
CHR Kaloz;1;1;1;0;7;7.0;1;1.0;0;0;0;0;0;0;0;0;1;1;0.0;0;0;0;16;16.0;1;1.0;-9.0
Rocha1307;8;7;4;0;2;9.75;2;0.25;1;0;0;0;18;18.0;0;0.0;8;3;0.62;3;0;0;4;12.38;1;0.12;-2.25
Darkyol;1;1;0;0;14;14.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;15;15.0;0;0.0;-1.0
STR La Atge;3;0;0;0;17;18.67;1;0.33;0;0;0;0;0;0;0;0;3;3;0.0;0;0;0;16;16.67;1;0.33;2.0
RP1 Eria;2;1;1;0;10;13.0;2;1.0;0;0;0;0;0;0;0;0;2;0;1.0;1;0;0;7;10.0;2;1.0;3.0
NFR Shadow;2;2;1;1;1;6.0;1;0.5;1;1;1;1;1;1.0;1;1.0;2;2;0.0;0;0;0;19;19.5;0;0.0;-13.5
F1XR Elamous;1;1;0;0;13;13.0;1;1.0;1;0;0;0;9;9.0;1;1.0;1;1;0.0;0;0;0;16;16.0;1;1.0;-7.0
Vieux Raleur;3;0;0;0;16;17.33;1;0.33;1;0;0;0;15;15.0;0;0.0;3;2;0.33;0;0;0;13;16.33;1;0.33;0.33
Cedric Dauby;1;1;1;0;8;8.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;1;0;0;9;9.0;1;1.0;-1.0
vNiicklass;1;0;0;0;17;17.0;0;0.0;0;0;0;0;0;0;0;0;1;1;0.0;0;0;0;16;16.0;0;0.0;1.0
Ripeur Delite;3;3;2;0;7;9.33;2;0.67;0;0;0;0;0;0;0;0;3;0;1.0;1;0;0;8;12.0;1;0.33;-2.67
Bistoufly;1;0;0;0;18;18.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;16;16.0;0;0.0;2.0
BlackPanther291;1;0;0;0;19;19.0;0;0.0;0;0;0;0;0;0;0;0;1;0;1.0;0;0;0;19;19.0;0;0.0;0.0
