FcT Theo#6461;1008;FcT Theo;108;McLaren D1 02;21;Haas D1 01;89;RaavenBZH;91;MVT Thomas;46;XRT Baka;11;ECS Finesse;78;Non4me Geckozz;27;ERT Mirage;34;Non4me Pagaa;76;LTR Coach;48;TX3 Soap;26
SPARTACUS#3657;1002;FcT Theo;108;RP1 Okwaru;42;MCR Jayrko;110;RaavenBZH;91;AfT Lowky;97;BenBdBy;-26;ERT Aurelius;70;ERT Matfax;18;CHR Olivz;46;Yozana;44;Non4me Livai;52;RP1 Lito;37
PuR Vincent#5110;991;FcT Theo;108;PuR Varane;34;PuR Rosberg;91;RaavenBZH;91;PuR Vincent;28;PuR Ilton;59;LDL Shermy;38;RP1 Gachette;65;PuR Nygraal;69;ERT iQuaZz;65;Jancker21;15;TX3 Soap;26
ElDiablo#5634;952;RP1 Winterr;26;PuR Voltha;18;MCR Jayrko;110;RaavenBZH;91;AfT Lowky;97;FcT Deadpool;43;ECS Finesse;78;Non4me Geckozz;27;ERT Mirage;34;ERT Tiiste;100;LTR Coach;48;ERT Redevils;-15
RP1 iiuK #1332;940;FcT Theo;108;Vinboy;96;MCR Jayrko;110;RaavenBZH;91;O2 Oxygen;130;BenBdBy;-26;Knacki Ball;-9;Non4me Geckozz;27;ERT Mirage;34;Non4me Pagaa;76;Non4me Livai;52;ERT Redevils;-15
MCR Papyx53#4723;914;FcT Adam;64;LDL Oli;99;MCR Jayrko;110;VRT Tribion;4;PuR Vincent;28;Legion Tomoe;113;ERT Aurelius;70;RP1 Gachette;65;Non4me Sanzz;-3;Non4me Pagaa;76;LTR Coach;48;TX3 Soap;26
RP1 Chadoo#8125;910;RP1 Winterr;26;LDL Oli;99;PuR Rosberg;91;VRT Tribion;4;MVT Thomas;46;BenBdBy;-26;ECS Finesse;78;RP1 Gachette;65;iF1 Supr3me;13;RP1 Durtom;111;RP1 Owain;84;RP1 Fifou;100
Raven_#1681;910;FcT Adam;64;LDL Oli;99;Haas D1 01;89;VRT Tribion;4;PuR Vincent;28;MCR Skriniar;49;ERT Aurelius;70;RP1 Gachette;65;Non4me Sanzz;-3;RP1 Durtom;111;LTR Coach;48;RP1 Lito;37
LDL SAUMON#6724;909;FcT Theo;108;LDL Oli;99;Haas D1 02;50;VRT Tribion;4;MVT Thomas;46;PuR Ilton;59;ERT Aurelius;70;RP1 Gachette;65;Non4me Sanzz;-3;Non4me Pagaa;76;Non4me Livai;52;Non4me Jordy;25
FcT Julien#1209;904;FcT Adam;64;LDL Oli;99;MCR Path;29;RaavenBZH;91;MVT Thomas;46;Haas D2 02;29;ERT Aurelius;70;SKS Flyart;-1;Non4me Sanzz;-3;RP1 Durtom;111;LTR Coach;48;ERT Redevils;-15
QRL ZePro#8749;877;FcT Theo;108;PuR Varane;34;PuR Rosberg;91;VRT Tribion;4;MVT Thomas;46;MCR Skriniar;49;ERT Aurelius;70;RP1 Gachette;65;ERT Mirage;34;Yozana;44;RP1 Ice;6;RP1 Fifou;100
PuRVarane#7856;869;FcT Theo;108;McLaren D1 02;21;PuR Rosberg;91;VRT Tribion;4;PuR Vincent;28;XRT Baka;11;Non4me Cami;75;Non4me Geckozz;27;MCR Papyx;118;ERT iQuaZz;65;RP1 Owain;84;ERT Redevils;-15
ERT Niloboo#4074;867;ERT Niloboo;67;LDL Oli;99;PuR Rosberg;91;ERT BatXone;33;MVT Thomas;46;MCR Skriniar;49;LDL Shermy;38;ERT Matfax;18;ERT Mirage;34;ERT iQuaZz;65;RP1 Owain;84;ERT Ricky;40
OXYG3N ?? #0970;866;RP1 Winterr;26;PuR Voltha;18;PuR Rosberg;91;PuR Racing;-8;O2 Oxygen;130;PuR Ilton;59;ERT Aurelius;70;RP1 Gachette;65;EroziaH SPL;-5;RP1 Durtom;111;RP1 Owain;84;TX3 Soap;26
ERT BatXone #8529;859;ERT Niloboo;67;McLaren D1 02;21;PuR Rosberg;91;ERT BatXone;33;MVT Thomas;46;XRT Baka;11;ERT Aurelius;70;Non4me Geckozz;27;PuR Nygraal;69;ERT iQuaZz;65;RP1 Owain;84;ERT Ricky;40
Oli0055#6847;846;FcT Theo;108;LDL Oli;99;Haas D1 02;50;VRT Tribion;4;MVT Thomas;46;XRT Baka;11;ERT Aurelius;70;SKS Flyart;-1;Non4me Sanzz;-3;Non4me Pagaa;76;RP1 Owain;84;XRT Alpha;44
MCR JayRKO#5703;844;FcT Adam;64;McLaren D1 02;21;PuR Rosberg;91;PuR Racing;-8;PuR Vincent;28;PuR Ilton;59;ERT Aurelius;70;Soo Skyzzz;13;MCR Papyx;118;Non4me Pagaa;76;RP1 Owain;84;TX3 Soap;26
ERT Aurelius#7215;843;ERT Niloboo;67;Vinboy;96;PuR Rosberg;91;VRT Tribion;4;MVT Thomas;46;MCR Skriniar;49;ERT Aurelius;70;Non4me Geckozz;27;ERT Mirage;34;ERT iQuaZz;65;LTR Coach;48;ERT Ricky;40
RP1 Papash #1147;841;RP1 Winterr;26;RP1 Okwaru;42;PuR Rosberg;91;RaavenBZH;91;MVT Thomas;46;AlexGT500;-6;ERT Aurelius;70;RP1 Gachette;65;iF1 Supr3me;13;Yozana;44;RP1 Owain;84;XRT Alpha;44
Le Grinch#7237;827;FcT Adam;64;McLaren D1 02;21;MCR Jayrko;110;VRT Tribion;4;O2 Oxygen;130;MCR Skriniar;49;Knacki Ball;-9;RP1 Gachette;65;MCR Papyx;118;Non4me Pagaa;76;RP1 Ice;6;X7PK KaranoX;58
RP1 Gachette#9691;819;FcT Adam;64;RP1 Okwaru;42;MCR Jayrko;110;RaavenBZH;91;MVT Thomas;46;PuR Ilton;59;ERT Aurelius;70;SKS Flyart;-1;ERT Mirage;34;Yozana;44;RP1 Ice;6;ERT Redevils;-15
FcT Adam #6474;786;FcT Adam;64;LDL Oli;99;PuR Rosberg;91;RaavenBZH;91;MVT Thomas;46;AlexGT500;-6;LDL Shermy;38;Soo Skyzzz;13;EroziaH SPL;-5;Yozana;44;LTR Coach;48;TX3 Soap;26
LTR COACH#9830;774;FcT Theo;108;PuR Varane;34;PuR Rosberg;91;VRT Tribion;4;PuR Vincent;28;Legion Tomoe;113;Knacki Ball;-9;RP1 Gachette;65;ERT Mirage;34;ERT iQuaZz;65;LTR Coach;48;Non4me Jordy;25
AlexGT500 GAME#2172;769;FcT Theo;108;PuR Varane;34;Haas D1 01;89;VRT Tribion;4;PuR Vincent;28;PuR Ilton;59;Knacki Ball;-9;Soo Skyzzz;13;VMLF Zer;60;Non4me Pagaa;76;RP1 Owain;84;XRT Alpha;44
ERT Toon#4123;764;ERT Niloboo;67;PuR Varane;34;MCR Jayrko;110;ERT BatXone;33;PuR Vincent;28;BenBdBy;-26;ERT Aurelius;70;Non4me Geckozz;27;VMLF Zer;60;ERT Tiiste;100;RP1 Ice;6;ERT Redevils;-15
PuR Ilton#1432;761;FcT Theo;108;RP1 Okwaru;42;PuR Rosberg;91;VRT Tribion;4;AfT Lowky;97;PuR Ilton;59;LDL Shermy;38;ERT Matfax;18;EroziaH SPL;-5;Yozana;44;LTR Coach;48;PuR Ultraaa;23
RP1 Okwaru#9095 ;738;FcT Adam;64;RP1 Okwaru;42;PuR Rosberg;91;PuR Racing;-8;MVT Thomas;46;Haas D2 02;29;ECS Finesse;78;SKS Flyart;-1;PuR Nygraal;69;Yozana;44;RP1 Ice;6;RP1 Fifou;100
RP1 Ice#2372;733;RP1 Winterr;26;McLaren D1 02;21;XRT Arthur;97;RP1 Virlix;17;MVT Thomas;46;Haas D2 02;29;ECS Finesse;78;Non4me Geckozz;27;RP1 Fifi;76;Non4me Pagaa;76;RP1 Ice;6;RP1 Lito;37
Woodylejouet#6399;727;RP1 Winterr;26;RP1 Okwaru;42;PuR Rosberg;91;ERT BatXone;33;O2 Oxygen;130;BenBdBy;-26;Knacki Ball;-9;RP1 Gachette;65;VMLF Zer;60;RP1 Durtom;111;RP1 Ice;6;RP1 Lito;37
RP1 Fifou#8771;715;ERT Niloboo;67;RP1 Okwaru;42;MCR Jayrko;110;VRT Tribion;4;MVT Thomas;46;BenBdBy;-26;Knacki Ball;-9;RP1 Gachette;65;MCR Papyx;118;Yozana;44;LTR Coach;48;RP1 Fifou;100
RP1 Virlix #2107;705;FcT Theo;108;McLaren D1 02;21;PuR Rosberg;91;VRT Tribion;4;MVT Thomas;46;BenBdBy;-26;Non4me Cami;75;Soo Skyzzz;13;Non4me Sanzz;-3;ERT iQuaZz;65;Jancker21;15;XRT Alpha;44
JNPJD#6703;667;FcT Theo;108;PuR Voltha;18;PuR Rosberg;91;PuR Racing;-8;MVT Thomas;46;Haas D2 02;29;Knacki Ball;-9;RP1 Gachette;65;VMLF Zer;60;Yozana;44;LTR Coach;48;IS Honoka;40
PuR Ultraaa#9615;666;FcT Theo;108;RP1 Okwaru;42;PuR Rosberg;91;VRT Tribion;4;MVT Thomas;46;PuR Ilton;59;LDL Shermy;38;RP1 Gachette;65;PuR Marth;-16;Yozana;44;RP1 Ice;6;ERT Redevils;-15
SHZ Noctis #8461 ;663;FcT Theo;108;McLaren D1 02;21;XRT Arthur;97;RP1 Virlix;17;PuR Vincent;28;AlexGT500;-6;ECS Finesse;78;SKS Flyart;-1;PuR Marth;-16;Yozana;44;RP1 Ice;6;ERT Ricky;40
PuR Tomi #3009;628;FcT Adam;64;McLaren D1 02;21;XRT Arthur;97;VRT Tribion;4;XRT Darkfly;113;AlexGT500;-6;Knacki Ball;-9;RP1 Gachette;65;PuR Marth;-16;Yozana;44;LTR Coach;48;RP1 Fifou;100
ERT Matfax#0803;626;ERT Niloboo;67;McLaren D1 02;21;MCR Path;29;RP1 Virlix;17;MVT Thomas;46;AlexGT500;-6;ERT Aurelius;70;ERT Matfax;18;ERT Mirage;34;ERT iQuaZz;65;RP1 Ice;6;ERT Ricky;40
SkS FlYArT#5679;484;RP1 Winterr;26;RP1 Okwaru;42;PuR Rosberg;91;PuR Racing;-8;MVT Thomas;46;PuR Ilton;59;Knacki Ball;-9;SKS Flyart;-1;ERT Mirage;34;Yozana;44;RP1 Owain;84;PuR Ultraaa;23
